Name,ra,dec
VelaJunior,133.0,-46.33
J1713.7,258.36,-39.77
J1614,243.56,-51.82
J1457,223.7,-59.07
G323.7,233.63,-57.2
J1731,262.98,-34.71
GammaCygni,305.27,40.52
RCW86,220.12,-62.65
J1912,288.33,10.19
J1745,266.3,-30.2
CassiopeiaA,350.85,58.81
CTB37A,258.64,-38.54
VelaX,128.29,-45.19
CrabNebula,83.63,22.01
J1708,257.0,-44.3
J1825,276.55,-13.58
J1632,248.01,-47.87
MSH1552,228.53,-59.16
J1813,273.36,-17.86
J1303,195.75,-63.2
J1616,244.06,-50.91
J1418,214.69,-60.98
J1837,279.43,-6.93
J1026,157.17,-58.29
J1908,286.91,6.32
Westerlund1,251.5,-45.8
J1702,255.68,-42.02
J1814,273.52,-17.31
J1841,280.23,-5.55
J1819,274.83,-15.06
J1804,271.12,-21.73
J1809,272.63,-19.3
J1843,280.75,-3.3
J2032,307.93,41.51
J1708,257.10,-41.09
J1857,284.30,2.67
