
4FGLName,GLON,GLAT,4FGLSig,4FGL,4FGL Class
4FGL J0034.6+6438,121.13,1.83,2.6,3.9,
4FGL J0039.1+6257,121.54,0.12,7.0,5.2,
4FGL J0129.0+6312,127.16,0.65,3.1,5.7,spp
4FGL J0142.5+6650,127.93,4.46,3.4,3.6,
4FGL J0144.3+5959,129.51,−2.20,0.6,3.4,
4FGL J0211.5+6219,132.09,0.89,1.1,3.5,
4FGL J0221.4+6241e,133.05,1.60,5.7,8.8,SNR
4FGL J0222.4+6156e,133.42,0.94,14.3,30.7,snr
4FGL J0235.3+5650,136.82,−3.19,4.1,7.6,
4FGL J0240.5+6113,135.68,1.09,28.2,107.3,HMB
4FGL J0302.7+5717,139.97,−1.17,0.8,3.3,
4FGL J0328.5+6114,140.71,3.92,1.4,3.9,
4FGL J0330.1+5038,146.91,−4.70,4.7,6.1,
4FGL J0330.7+5845,142.35,2.02,4.7,6.2,
4FGL J0340.4+5302,146.79,−1.82,12.3,23.4,
4FGL J0426.5+5434,150.88,3.82,9.8,18.1,
4FGL J0452.9+5117,155.99,4.63,2.8,5.6,
4FGL J0500.3+4639e,160.37,2.69,5.8,12.6,SNR
4FGL J0532.6+3358,174.26,0.36,1.3,3.5,
4FGL J0533.9+2838,178.89,−2.33,0.3,3.4,spp
4FGL J0540.3+2756e,180.24,−1.50,4.5,10.0,SNR
4FGL J0608.8+2034,189.87,0.35,2.9,3.8,unk
4FGL J0609.0+2136,188.99,0.89,4.2,3.5,
4FGL J0609.0+2006,190.31,0.17,4.9,3.9,
4FGL J0612.6+1520,194.89,−1.37,3.9,4.4,
4FGL J0617.2+2234e,189.05,3.03,20.8,17.0,SNR
4FGL J0618.7+1211,198.38,−1.56,2.9,4.7,
4FGL J0620.4+1445,196.30,0.00,1.5,3.6,
4FGL J0634.2+0436e,206.87,−1.70,8.4,15.5,snr
4FGL J0639.4+0655e,205.40,0.50,7.8,10.2,SNR
4FGL J0642.4+1048,202.28,2.94,2.7,3.5,
4FGL J0647.7+0031,212.05,−0.57,1.1,6.5,spp
4FGL J0705.8−0004,214.64,3.17,3.1,3.2,
4FGL J0709.1−1034,224.35,−0.92,4.3,7.8,
4FGL J0722.7−2309,237.01,−3.88,3.5,4.4,
4FGL J0731.5−1910,234.48,−0.19,2.8,5.0,
4FGL J0744.0−2525,241.35,−0.74,8.0,13.7,
4FGL J0752.0−2931,245.78,−1.28,4.0,5.4,
4FGL J0822.1−4253e,260.31,−3.37,5.9,16.7,SNR
4FGL J0833.3−4342,262.17,−2.20,0.0,3.7,spp
4FGL J0844.1−4330,263.19,−0.53,3.2,3.4,
4FGL J0844.9−4117,261.55,0.97,3.2,7.0,
4FGL J0848.8−4328,263.69,0.16,1.8,6.8,
4FGL J0850.8−4239,263.30,0.96,5.0,6.9,
4FGL J0851.9−4620e,266.26,−1.23,1.1,12.0,SNR
4FGL J0853.1−4407,264.70,0.35,5.0,5.8,
4FGL J0853.6−4306,263.98,1.07,5.6,7.3,
4FGL J0854.8−4504,265.61,−0.03,8.4,5.8,
4FGL J0857.7−4507,265.98,0.33,2.1,5.8,
4FGL J0859.2−4729,267.94,−1.03,3.9,7.0,
4FGL J0859.3−4342,265.10,1.46,5.9,11.5,
4FGL J0900.2−4608,267.03,−0.01,3.1,4.4,
4FGL J0904.7−4908c,269.78,−1.44,3.7,5.4,unk
4FGL J0911.6−4738,269.46,0.43,0.9,5.4,
